"name","id","properties"
"ActionGroup.NorwayWest","ActionGroup.NorwayWest","@{changeNumber=1; region=norwayw; regionId=74; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.SouthAfricaNorth","ActionGroup.SouthAfricaNorth","@{changeNumber=1; region=southafricanorth; regionId=82; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.SouthAfricaWest","ActionGroup.SouthAfricaWest","@{changeNumber=1; region=southafricawest; regionId=83; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.SouthCentralUS","ActionGroup.SouthCentralUS","@{changeNumber=2; region=southcentralus; regionId=35; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.SouthIndia","ActionGroup.SouthIndia","@{changeNumber=1; region=southindia; regionId=22; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.SoutheastAsia","ActionGroup.SoutheastAsia","@{changeNumber=2; region=southeastasia; regionId=2; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.SwitzerlandNorth","ActionGroup.SwitzerlandNorth","@{changeNumber=1; region=switzerlandn; regionId=66; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.SwitzerlandWest","ActionGroup.SwitzerlandWest","@{changeNumber=1; region=switzerlandw; regionId=67; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.UAECentral","ActionGroup.UAECentral","@{changeNumber=1; region=uaecentral; regionId=61; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.UAENorth","ActionGroup.UAENorth","@{changeNumber=1; region=uaenorth; regionId=60; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.UKNorth","ActionGroup.UKNorth","@{changeNumber=1; region=uknorth; regionId=29; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.UKSouth","ActionGroup.UKSouth","@{changeNumber=2; region=uksouth; regionId=27; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
"ActionGroup.UKSouth2","ActionGroup.UKSouth2","@{changeNumber=1; region=uksouth2; regionId=30; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.UKWest","ActionGroup.UKWest","@{changeNumber=2; region=ukwest; regionId=28; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ActionGroup.WestCentralUS","ActionGroup.WestCentralUS","@{changeNumber=2; region=westcentralus; regionId=36; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=}"
